position,variant,rank,token,probability
0,diff,1,ญ,0.00036406517028808594
0,diff,2,oppon,0.0003077983856201172
0,diff,3,TDM,0.00028967857360839844
0,diff,4,œuv,0.00027680397033691406
0,diff,5,ENO,0.00025463104248046875
0,diff,6,phil,0.0002453327178955078
0,diff,7,modeling,0.00023233890533447266
0,diff,8,Pier,0.00022864341735839844
0,diff,9,DAP,0.00022649765014648438
0,diff,10,Ą,0.00021696090698242188
0,diff,11,lengths,0.00021648406982421875
0,diff,12,iera,0.00020742416381835938
0,diff,13,curt,0.00020575523376464844
0,diff,14,eln,0.0002014636993408203
0,diff,15,arb,0.00020062923431396484
0,diff,16,aude,0.00020062923431396484
0,diff,17,zing,0.00019669532775878906
0,diff,18,philos,0.00019443035125732422
0,diff,19,iour,0.0001888275146484375
0,diff,20,dut,0.0001888275146484375
0,diff,21,tring,0.0001863241195678711
0,diff,22,ív,0.0001844167709350586
0,diff,23,rolled,0.0001811981201171875
0,diff,24,Dave,0.00018024444580078125
0,diff,25,�,0.00018024444580078125
0,diff,26,cr,0.00017702579498291016
0,diff,27,uar,0.0001766681671142578
0,diff,28,ˇ,0.0001760721206665039
0,diff,29,routes,0.00017499923706054688
0,diff,30,GroupLayout,0.00016796588897705078
0,diff,31,pier,0.00016605854034423828
0,diff,32,媒,0.00016307830810546875
0,diff,33,uct,0.00016307830810546875
0,diff,34,aca,0.0001628398895263672
0,diff,35,丹,0.0001628398895263672
0,diff,36,십,0.0001628398895263672
0,diff,37,inus,0.0001596212387084961
0,diff,38,due,0.00015866756439208984
0,diff,39,隆,0.00015807151794433594
0,diff,40,archae,0.00015783309936523438
0,diff,41,Phil,0.00015747547149658203
0,diff,42,upp,0.0001571178436279297
0,diff,43,⋆,0.00015687942504882812
0,diff,44,mals,0.00015628337860107422
0,diff,45,ď,0.00015628337860107422
0,diff,46,PI,0.00015592575073242188
0,diff,47,streng,0.00015592575073242188
0,diff,48,kar,0.0001556873321533203
0,diff,49,ษ,0.00015437602996826172
0,diff,50,ODO,0.0001537799835205078
0,diff,51,MSM,0.0001531839370727539
0,diff,52,魏,0.0001531839370727539
0,diff,53,behav,0.00015294551849365234
0,diff,54,nar,0.0001519918441772461
0,diff,55,Rot,0.0001519918441772461
0,diff,56,soci,0.00015056133270263672
0,diff,57,sembly,0.0001499652862548828
0,diff,58,guard,0.00014913082122802734
0,diff,59,symmet,0.00014853477478027344
0,diff,60,dex,0.0001481771469116211
0,diff,61,aines,0.0001481771469116211
0,diff,62,мой,0.0001474618911743164
0,diff,63,seau,0.00014722347259521484
0,diff,64,Ъ,0.00014591217041015625
0,diff,65,underarter,0.0001455545425415039
0,diff,66,ki,0.00014483928680419922
0,diff,67,Publish,0.00014460086822509766
0,diff,68,rass,0.00014412403106689453
0,diff,69,motivated,0.00014388561248779297
0,diff,70,Curt,0.00014340877532958984
0,diff,71,temporarily,0.00014162063598632812
0,diff,72,nicely,0.00014138221740722656
0,diff,73,ruling,0.00014102458953857422
0,diff,74,pid,0.00014102458953857422
0,diff,75,iante,0.00014030933380126953
0,diff,76,guard,0.00014007091522216797
0,diff,77,苗,0.00013959407806396484
0,diff,78,ta,0.00013959407806396484
0,diff,79,BL,0.00013959407806396484
0,diff,80,differently,0.00013899803161621094
0,diff,81,Ki,0.00013899803161621094
0,diff,82,ṁ,0.00013899803161621094
0,diff,83,éra,0.0001385211944580078
0,diff,84,DOT,0.00013816356658935547
0,diff,85,neither,0.0001380443572998047
0,diff,86,owski,0.00013756752014160156
0,diff,87,Ь,0.00013744831085205078
0,diff,88,Partido,0.00013720989227294922
0,diff,89,experi,0.00013685226440429688
0,diff,90,philosoph,0.0001367330551147461
0,diff,91,usher,0.00013649463653564453
0,diff,92,ẓ,0.00013637542724609375
0,diff,93,PIO,0.00013637542724609375
0,diff,94,chars,0.00013589859008789062
0,diff,95,retirement,0.00013589859008789062
0,diff,96,Ḩ,0.00013577938079833984
0,diff,97,philosophy,0.00013566017150878906
0,diff,98,LBL,0.00013518333435058594
0,diff,99,staw,0.00013518333435058594
0,diff,100,xspace,0.00013506412506103516
0,base,1,hes,0.0006060600280761719
0,base,2,cel,0.0005006790161132812
0,base,3,nes,0.0004935264587402344
0,base,4,inder,0.0004813671112060547
0,base,5,maj,0.0004134178161621094
0,base,6,iores,0.0003898143768310547
0,base,7,illet,0.0003821849822998047
0,base,8,itt,0.0003314018249511719
0,base,9,util,0.0003294944763183594
0,base,10,**,0.0003294944763183594
0,base,11,pull,0.0003180503845214844
0,base,12,CE,0.00031757354736328125
0,base,13,pull,0.00031638145446777344
0,base,14,priv,0.000308990478515625
0,base,15,Cer,0.00030422210693359375
0,base,16,class,0.0002989768981933594
0,base,17,olog,0.0002930164337158203
0,base,18,Computer,0.0002884864807128906
0,base,19,lesser,0.0002884864807128906
0,base,20,wear,0.0002868175506591797
0,base,21,lang,0.0002818107604980469
0,base,22,jak,0.0002779960632324219
0,base,23,question,0.0002753734588623047
0,base,24,ntax,0.00027370452880859375
0,base,25,Clock,0.0002727508544921875
0,base,26,Ing,0.0002720355987548828
0,base,27,open,0.00026535987854003906
0,base,28,arden,0.00026416778564453125
0,base,29,Sav,0.00026416778564453125
0,base,30,computer,0.00026416778564453125
0,base,31,pulls,0.0002617835998535156
0,base,32,Clay,0.00025725364685058594
0,base,33,onen,0.00025653839111328125
0,base,34,illa,0.000255584716796875
0,base,35,ulle,0.0002551078796386719
0,base,36,Jur,0.0002522468566894531
0,base,37,Chel,0.00024962425231933594
0,base,38,лів,0.00024962425231933594
0,base,39,/*!,0.0002472400665283203
0,base,40,Crow,0.00024628639221191406
0,base,41,hado,0.000244140625
0,base,42,Nam,0.00024390220642089844
0,base,43,bot,0.0002429485321044922
0,base,44,ʔ,0.0002410411834716797
0,base,45,rel,0.00023996829986572266
0,base,46,nett,0.00023949146270751953
0,base,47,Haw,0.00023806095123291016
0,base,48,ül,0.00023686885833740234
0,base,49,�,0.00023663043975830078
0,base,50,Richmond,0.00023663043975830078
0,base,51,ista,0.00023317337036132812
0,base,52,Gall,0.00023257732391357422
0,base,53,fusion,0.00023186206817626953
0,base,54,relation,0.00023090839385986328
0,base,55,Mull,0.0002300739288330078
0,base,56,opter,0.00022912025451660156
0,base,57,propriet,0.00022864341735839844
0,base,58,ender,0.0002262592315673828
0,base,59,Fill,0.0002257823944091797
0,base,60,compat,0.00022554397583007812
0,base,61,yrics,0.0002244710922241211
0,base,62,Gym,0.00022423267364501953
0,base,63,wik,0.00022363662719726562
0,base,64,r,0.00022232532501220703
0,base,65,@{,0.00022161006927490234
0,base,66,rys,0.00021946430206298828
0,base,67,@,0.00021779537200927734
0,base,68,nex,0.00021398067474365234
0,base,69,пу,0.0002129077911376953
0,base,70,vy,0.00021195411682128906
0,base,71,com,0.00021088123321533203
0,base,72,MAGES,0.00021028518676757812
0,base,73,Council,0.0002090930938720703
0,base,74,lich,0.0002086162567138672
0,base,75,Camb,0.0002086162567138672
0,base,76,P,0.00020742416381835938
0,base,77,ris,0.00020706653594970703
0,base,78,Bot,0.00020563602447509766
0,base,79,Receiver,0.00020515918731689453
0,base,80,tv,0.00020503997802734375
0,base,81,ila,0.000202178955078125
0,base,82,situ,0.0001996755599975586
0,base,83,Lesser,0.00019812583923339844
0,base,84,NC,0.00019812583923339844
0,base,85,annon,0.00019812583923339844
0,base,86,het,0.00019693374633789062
0,base,87,ember,0.00019693374633789062
0,base,88,sav,0.00019681453704833984
0,base,89,load,0.00019466876983642578
0,base,90,ilians,0.0001926422119140625
0,base,91,ichte,0.00019180774688720703
0,base,92,itten,0.00019109249114990234
0,base,93,carrier,0.00018870830535888672
0,base,94,purch,0.00018846988677978516
0,base,95,concentrate,0.00018835067749023438
0,base,96,jur,0.00018799304962158203
0,base,97,Lux,0.00018775463104248047
0,base,98,ses,0.00018703937530517578
0,base,99,seller,0.00018680095672607422
0,base,100,claims,0.00018668174743652344
0,ft,1,bros,0.0002834796905517578
0,ft,2,CLUDING,0.0002734661102294922
0,ft,3,hado,0.00024580955505371094
0,ft,4,MAGES,0.00023472309112548828
0,ft,5,ntax,0.00022113323211669922
0,ft,6,Cer,0.00021600723266601562
0,ft,7,iginal,0.0001964569091796875
0,ft,8,ʔ,0.00019443035125732422
0,ft,9,lesser,0.00018966197967529297
0,ft,10,лів,0.00018656253814697266
0,ft,11,ses,0.0001838207244873047
0,ft,12,ün,0.00018298625946044922
0,ft,13,Gel,0.0001806020736694336
0,ft,14,wear,0.0001804828643798828
0,ft,15,tagon,0.00017964839935302734
0,ft,16,Jur,0.0001766681671142578
0,ft,17,pull,0.00017392635345458984
0,ft,18,carrier,0.00017273426055908203
0,ft,19,cel,0.00017201900482177734
0,ft,20,open,0.0001665353775024414
0,ft,21,la,0.00016605854034423828
0,ft,22,Clay,0.0001659393310546875
0,ft,23,iores,0.00016367435455322266
0,ft,24,Mist,0.00016164779663085938
